Product,Price,Items_left,Image_url,id
Women T-shirts 2PCS Ladies Tops Tees Tshirt Sets Female Clothing,4.2,49  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/8304572/1.jpg?4179,83
6 Pairs Ladies Hoop Diamond Pearl Earrings Set Punk Earrings,2.76,48  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/8763943/1.jpg?0746,84
Multi-Function Bluetooth Speakers With Digital Alarm Clock,6.48,40  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/8042752/1.jpg?5919,85
Men's Sneakers Fashion Casual Shoes Running Shoes Basketball Shoes-Black,8.76,72  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/0846192/1.jpg?6525,86
Syinix 2.2L Electric Kettle - Red,4.21,2  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/1724373/1.jpg?3644,87
itel SONES TWS WE02E Earbuds,7.06,27  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/8032872/1.jpg?9232,88
Smirnoff Intense Chocolate Flavored Vodka 750ml,2.28,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/612838/1.jpg?3828,89
Maybelline SuperStay 30H Active Wear Foundation- 60 CARAMEL,7.04,9  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/1708162/1.jpg?0832,90
Catpapa 0-3 Years Baby Boys Summer Clothes Set MINI BOSS Short Sleeve Tops Ripped Shorts,6.7,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/3142201/1.jpg?0683,91
A True 2.1-inch Full-screen Smart Sports And Fitness Multi-function Watch With No Black Borders,8.11,45  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/2404572/1.jpg?6981,92
NIVEA Watimagbo Pack- Perfect & Radiant Body Lotion - 400ml (Pack of 3),5.5,477  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/9023401/1.jpg?0346,93
Sun King Solar Fan With 20W Solar Panel,63.06,22  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/483317/1.jpg?7085,94
Jameson Irish Whiskey 70cl,12.05,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/460869/1.jpg?9879,95
Airwick Drummer Gel Air Freshener - Pack Of 6,2.78,9  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/571729/1.jpg?2029,96
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum 30ml & Anti Dark Marks Day Cream SPF50 (bundle Pack),6.3,46  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/0217751/1.jpg?1806,97
Mini Portable Refillable Sprayer Atomizer Bottle 5ml-Purple,1.22,44  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/9284903/1.jpg?4793,98
Perforated Mesh Sports Bra Sleep Bra Black 2XL,3.63,49  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/3660113/1.jpg?5517,99
20 Pcs Stainless Steel Ring Set,3.1,28  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/0305113/1.jpg?8680,100
itel 2163 Wireless FM Torchlight Dual SIM - Black,7.71,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/733848/1.jpg?6536,101
L'Oréal Professionnel Absolut Repair Molecular Hair Shampoo 300ml,14.19,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/1324203/1.jpg?3822,102
Men Glossy Tassel Brogue Leather Shoes Loafers & Slip-ons Formal Corporate,16.01,61  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/9086482/1.jpg?1942,103
"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black",63.06,5  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/6684363/1.jpg?4874,104
Nexus 4 Burner (4 + 0) Gas Cooker (GCCR-NX-5055B),80.94,38  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/996666/1.jpg?0597,105
STY Ladies Shoulder Bag Small Bags Set Women Handbags & Purse,6.76,32  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/1073153/1.jpg?2475,106
Cky Kleio Rechargeable Soundbar Bluetooth Stereo Bass HT,16.94,46  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/4075902/1.jpg?2719,107
Qsonic Bolan 2.1 Hometheater Cinematic SoundBar With SubWoofer,45.76,45  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/191166/1.jpg?0765,108
Mens Sport Outdoor Cotton Long Sleeve Hoodies Sportwear Warm Sweatshirts,8.0,49  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/5655101/1.jpg?1582,109
Multi-speed Wind Speed Regulating Fan,11.43,22  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/4303182/1.jpg?1998,110
"TGX772 Led Table Lamp With Touch Dimmer,Phone Holder,Night Light For Eye Protection",8.59,34  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/233918/1.jpg?3068,111
"Tecno Spark 30C 6.6"" 4GB RAM/128GB ROM Android 14 - Black",89.45,218  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/0977963/1.jpg?2019,112
Sofa Hairy Area Rug-Grey,25.98,38  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/479707/1.jpg?3355,113
Hikers 32'' Inches Frameless HD LED TV-Black,62.94,49  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/1897052/1.jpg?0512,114
Dr Teal's Moist B&B Oil 8.8Oz Lavender,4.56,33  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/6423613/1.jpg?7598,115
NIVEA Perfect & Radiant Eventone Cleasing Foam 100Ml,2.95,49  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/9716612/1.jpg?9989,116
Royal 43” inches Smart LED TV (RTV43G7W) - Black + 1 year warranty,136.42,500  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/2736833/1.jpg?6703,117
